asked	4129	en
somebody	4126	en
있는지	4120	ko
알겠어요	4105	ko
mine	4103	en
제일	4102	ko
지난	4072	ko
그렇죠	4067	ko
making	4064	en
죽은	4062	ko
제대로	4060	ko
body	4058	en
afraid	4058	en
아니지	4057	ko
sleep	4042	en
chance	4039	en
dear	4024	en
있다면	4017	ko
quite	4015	en
four	4014	en
anyway	4008	en
보면	4007	ko
close	4007	en
우리를	4004	ko
ain	4004	en
짓을	4002	ko
party	3994	en
남자	3992	ko
너가	3989	ko
있다는	3987	ko
fun	3984	en
against	3968	en
word	3966	en
누구	3964	ko
보여	3957	ko
comes	3955	en
왔어요	3954	ko
important	3952	en
set	3947	en
story	3944	en
너한테	3942	ko
여러분	3934	ko
number	3925	en
완전히	3922	ko
daughter	3921	en
너의	3919	ko
것이다	3919	ko
least	3917	en
waiting	3909	en
소리	3901	ko
없지	3889	ko
벌써	3884	ko
hurt	3881	en
모르겠어요	3871	ko
말이지	3864	ko
사람들을	3854	ko
처음	3854	ko
wish	3852	en
말이죠	3849	ko
moment	3847	en
fight	3845	en
사람들	3841	ko
week	3834	en
husband	3832	en
그녀의	3829	ko
멋진	3826	ko
girls	3824	en
rest	3822	en
왜요	3821	ko
정말로	3796	ko
married	3794	en
fire	3788	en
game	3787	en
이름은	3783	ko
nobody	3775	en
와서	3763	ko
대해서	3761	ko
children	3755	en
side	3743	en
여보	3736	ko
stand	3736	en
조금	3723	ko
않았어	3723	ko
read	3719	en
though	3714	en
cut	3712	en
started	3711	en
sister	3705	en
말이에요	3703	ko
이름이	3703	ko
여보세요	3683	ko
supposed	3681	en
서로	3673	ko
안돼요	3670	ko
between	3667	en
죽을	3663	ko
child	3651	en
매우	3643	ko
사랑해	3643	ko
오늘은	3635	ko
goes	3635	en
hours	3634	en
speak	3629	en
싶은	3628	ko
women	3626	en
어디로	3615	ko
단지	3612	ko
아닌	3590	ko
나가	3590	ko
뿐이야	3585	ko
미안	3572	ko
확실히	3570	ko
behind	3570	en
almost	3568	en
truth	3568	en
싶어요	3560	ko
죄송합니다	3560	ko
blood	3556	en
때까지	3555	ko
없고	3542	ko
able	3539	en
lady	3537	en
anymore	3532	en
어때요	3527	ko
playing	3525	en
당연히	3522	ko
데리고	3517	ko
필요한	3514	ko
gets	3512	en
가고	3504	ko
글쎄	3504	ko
않는	3502	ko
했죠	3489	ko
나의	3489	ko
shot	3481	en
별로	3474	ko
reason	3472	en
않은	3459	ko
라고	3459	ko
여전히	3449	ko
없을	3447	ko
trouble	3444	en
있어서	3442	ko
break	3441	en
이야기	3437	ko
war	3434	en
엄마는	3429	ko
city	3428	en
부인	3424	ko
하는데	3422	ko
않고	3422	ko
walk	3415	en
town	3410	en
알았지	3406	ko
trust	3398	en
met	3395	en
office	3393	en
아니고	3391	ko
question	3389	en
brought	3382	en
여자가	3381	ko
yours	3379	en
되지	3374	ko
welcome	3374	en
거기서	3371	ko
high	3368	en
훨씬	3364	ko
wow	3356	en
아버지가	3346	ko
망할	3344	ko
couple	3342	en
뭔지	3331	ko
half	3331	en
died	3328	en
cool	3321	en
수술	3319	ko
듣고	3311	ko
어쩌면	3311	ko
보세요	3308	ko
free	3308	en
either	3305	en
생각이	3301	ko
어느	3298	ko
그러지	3293	ko
seems	3287	en
되면	3286	ko
아마도	3286	ko
준비	3286	ko
power	3284	en
whoa	3283	en
bye	3276	en
buy	3273	en
telling	3272	en
전화	3266	ko
honey	3261	en
뒤에	3256	ko
tried	3255	en
front	3254	en
도대체	3243	ko
너를	3241	ko
당신도	3238	ko
것처럼	3231	ko
team	3230	en
않으면	3226	ko
answer	3224	en
말하는	3203	ko
최고의	3200	ko
gun	3199	en
말하지	3193	ko
모르는	3188	ko
boys	3188	en
line	3184	en
유일한	3183	ko
send	3174	en
갑자기	3170	ko
news	3164	en
stupid	3162	en
이봐요	3160	ko
bed	3160	en
건가요	3143	ko
없다고	3140	ko
것입니다	3133	ko
hurry	3130	en
있잖아요	3123	ko
되고	3120	ko
full	3119	en
months	3119	en
어쨌든	3112	ko
가진	3112	ko
이번	3112	ko
save	3111	en
뭐하는	3105	ko
후에	3097	ko
sometimes	3096	en
become	3095	en
along	3083	en
hate	3081	en
친구가	3077	ko
신경	3075	ko
그만해	3075	ko
누구야	3070	ko
food	3069	en
당신에게	3067	ko
outside	3059	en
없었어	3052	ko
그들을	3050	ko
있게	3050	ko
light	3045	en
알잖아	3040	ko
needs	3039	en
누군가	3035	ko
분명히	3030	ko
dog	3024	en
country	3023	en
clear	3023	en
생각을	3022	ko
order	3016	en
일단	3009	ko
가야	3009	ko
fact	3005	en
lord	3002	en
captain	3002	en
걱정	2999	ko
보자	2994	ko
매일	2984	ko
six	2983	en
hot	2981	en
funny	2979	en
수는	2974	ko
black	2974	en
아침	2969	ko
말할	2967	ko
alive	2953	en
pick	2950	en
말아요	2937	ko
feeling	2935	en
모두가	2934	ko
않았어요	2924	ko
living	2922	en
얘기를	2919	ko
cause	2915	en
봤어요	2909	ko
대신	2906	ko
마치	2904	ko
건데	2899	ko
자넨	2899	ko
했잖아	2896	ko
ahead	2892	en
둘이	2891	ko
당신과	2886	ko
집으로	2884	ko
한다	2879	ko
두고	2871	ko
이름을	2864	ko
있네	2861	ko
그들의	2861	ko
lose	2854	en
뭔데	2846	ko
금방	2844	ko
사는	2844	ko
좋아하는	2844	ko
king	2842	en
plan	2840	en
dinner	2836	en
찾을	2834	ko
맘에	2831	ko
결국	2829	ko
이유가	2826	ko
필요해요	2826	ko
sighs	2823	en
중에	2821	ko
그때	2819	ko
sort	2819	en
leaving	2814	en
shouldn	2814	en
보는	2813	ko
running	2812	en
너랑	2811	ko
아이를	2811	ko
boss	2807	en
alright	2804	en
없잖아	2796	ko
한다고	2793	ko
promise	2787	en
기분	2781	ko
하게	2771	ko
taken	2770	en
놈이	2761	ko
못해	2761	ko
우리에게	2761	ko
가면	2758	ko
저를	2756	ko
잡아	2748	ko
집에서	2746	ko
우리도	2746	ko
safe	2743	en
기분이	2741	ko
book	2740	en
sent	2740	en
저희	2738	ko
찾고	2736	ko
손을	2733	ko
거다	2726	ko
어제	2721	ko
남자가	2718	ko
뭐지	2716	ko
앞으로	2716	ko
white	2714	en
hour	2711	en
anybody	2707	en
잠깐만요	2703	ko
small	2700	en
perfect	2698	en
자신의	2693	ko
애가	2685	ko
이상한	2680	ko
먹고	2675	ko
아이	2673	ko
언제나	2668	ko
lives	2659	en
여기가	2653	ko
아들	2653	ko
special	2653	en
알게	2650	ko
하세요	2650	ko
parents	2650	en
john	2644	en
스스로	2643	ko
himself	2639	en
방법이	2635	ko
있던	2633	ko
해봐	2630	ko
아님	2628	ko
perhaps	2626	en
sounds	2624	en
serious	2615	en
sick	2611	en
때가	2600	ko
company	2598	en
scared	2594	en
uncle	2592	en
아니죠	2590	ko
했던	2585	ko
poor	2583	en
조용히	2580	ko
밤에	2577	ko
미친	2575	ko
red	2563	en
텐데	2560	ko
past	2559	en
earth	2558	en
머리	2552	ko
possible	2550	en
shoot	2550	en
않습니다	2547	ko
touch	2545	en
잘못	2540	ko
고맙습니다	2535	ko
있어야	2535	ko
왜냐하면	2532	ko
앉아	2532	ko
sound	2532	en
top	2531	en
아침에	2527	ko
죽일	2525	ko
ass	2525	en
환자	2522	ko
laughs	2522	en
없죠	2517	ko
일어나	2517	ko
믿을	2517	ko
같네요	2515	ko
건가	2515	ko
게다가	2507	ko
알렉스	2507	ko
cannot	2498	en
타고	2497	ko
들었어	2489	ko
눈을	2484	ko
나에게	2482	ko
없었어요	2479	ko
asking	2476	en
win	2475	en
만나서	2474	ko
glad	2473	en
control	2471	en
진정해	2469	ko
더이상	2467	ko
hmm	2467	en
human	2467	en
보지	2464	ko
drive	2463	en
방법을	2459	ko
원래	2452	ko
솔직히	2449	ko
좋지	2449	ko
hair	2449	en
하려고	2444	ko
jack	2444	en
빌어먹을	2442	ko
총을	2437	ko
bitch	2435	en
길을	2434	ko
누군지	2434	ko
luck	2434	en
아니라고	2432	ko
murder	2431	en
자신을	2429	ko
여길	2429	ko
happens	2424	en
있지만	2422	ko
얼른	2414	ko
air	2407	en
ten	2407	en
얘들아	2406	ko
daddy	2404	en
finally	2402	en
chuckles	2395	en
대로	2394	ko
만든	2389	ko
조심해	2384	ko
fast	2382	en
cold	2381	en
일에	2376	ko
따라	2376	ko
seem	2370	en
laughing	2366	en
정확히	2364	ko
자기가	2364	ko
words	2362	en
hospital	2358	en
street	2356	en
hang	2351	en
충분히	2346	ko
힘을	2344	ko
dance	2340	en
meeting	2340	en
아저씨	2336	ko
till	2333	en
알겠지	2331	ko
있었는데	2329	ko
사랑하는	2329	ko
기다리고	2324	ko
others	2323	en
catch	2323	en
follow	2321	en
sense	2319	en
sex	2318	en
될거야	2316	ko
살아	2316	ko
평생	2308	ko
아까	2308	ko
얘야	2306	ko
lie	2306	en
거기에	2303	ko
분명	2301	ko
말하고	2296	ko
evening	2292	en
역시	2291	ko
master	2287	en
known	2287	en
저희가	2286	ko
dream	2286	en
찾아	2283	ko
write	2283	en
걔가	2278	ko
이럴	2276	ko
저기요	2273	ko
million	2272	en
너와	2271	ko
될까요	2263	ko
voice	2262	en
sweet	2261	en
rather	2261	en
felt	2256	en
천천히	2253	ko
문제	2253	ko
수술을	2251	ko
